salutary	saludable
concerned	preocupado
irresolute	irresoluto
personages	personajes
shipwreck	naufragio
disgrace	desgracia
clouding	opacidad
easy	fácil
lapse	lapso
sleazy	sórdido
falsify	falsificar
erratic	errático
pale	pálido
enticing	tentador
very	muy
ho-hum	aburrida
lush	exuberante
destroy	destruir
premeditated	premeditado
divine	divino
fast	rápido
rusts	royas
callous	calloso
tiresome	cansado
diligence	diligencia
barbarically	bárbaramente
inaccurate	inexacto
masterfully	magistralmente
glowing	brillante
burned	quemado
bent	doblado
plebeian	plebeyo
failure	fracaso
refreshing	refrescante
bomb	bomba
wary	cauteloso
hedonistic	hedonista
uplift	inspirar
virulent	virulento
flirt	coquetear
mocking	burlón
nightmare	pesadilla
isolate	aislar
crude	crudo
murderous	asesino
crashing	estrellarse
danger	peligro
brilliant	brillante
triumph	triunfo
interesting	interesante
stable	estable
adamant	firme
liberate	liberar
imperious	imperioso
sufficed	bastado
overshadow	eclipsar
predatory	depredador
detracts	detrae
invasive	invasor
treason	traición
solid	sólido
handsomely	generosamente
zealous	celoso
fruitful	fructífero
forswear	abjurar
adventurous	aventurero
fresh	fresco
outstandingly	sobresalientemente
rightful	legítimo
bungle	chapucear
painful	doloroso
disappointing	decepcionante
accomplishments	logros
endorse	endosar
fury	furia
utterly	absolutamente
insubordinate	insubordinado
finely	finamente
darkness	oscuridad
advantageously	ventajosamente
delude	engañarse
condemnation	condenación
squabble	disputa
rogue	pícaro
misaligned	desalineada
rhetoric	rhetorica
asperse	hisopear
frenzy	frenesí
anti-social	antisocial
supports	soportes
disconsolately	desconsoladamente
gauche	desmañado
irrelevance	irrelevancia
intimidate	intimidar
shrivel	encoger
insouciance	despreocupación
pollute	contaminar
navigable	navegable
kudos	prestigio
shiver	tiembla
