snappy	rápido
restlessness	inquietud
shrilly	estridente
panoramic	panorámico
thrilling	electrizante
ghastly	horrible
gimmicks	trucos
dissolution	disolución
could	podía
thirst	sed
stew	estofado
gleeful	jubiloso
profound	profundo
stupendously	estupendamente
intuitive	intuitivo
earnestly	formalmente
blameless	irreprochable
puzzled	perplejo
distrusting	desconfiando
valiant	valiente
faze	perturbar
startling	asombroso
admiration	admiración
stylish	elegante
adulterated	adulterada
imbalance	desequilibrio
shatter	destrozar
quaint	pintoresco
crash	choque
erroneously	erróneamente
shun	rehuir
flickers	parpadeos
silent	silencioso
outraged	indignados
pique	piqué
imperfect	imperfecto
unnerving	enervante
knife	cuchillo
ambitious	ambicioso
obliterated	obliterado
shimmering	reluciente
uphold	defender
troublesome	molesto
ferociously	ferozmente
refinement	refinamiento
incoherently	incoherentemente
wariness	cautela
dismayingly	desalentadoramente
fascination	fascinación
disgruntled	descontento
infuriated	enfurecido
hegemony	hegemonía
din	estruendo
irresponsibly	irresponsable
destruction	destrucción
infraction	infracción
negative	negativo
outbreak	brote
humiliating	humillante
wretchedness	miseria
pretentiously	pretenciosamente
insincerity	insinceridad
rational	racional
reconcile	reconciliar
limitations	limitaciones
anemic	anémico
dusty	polvoriento
nebulous	nebuloso
isolation	aislamiento
mortified	mortificado
damaging	perjudicial
outbursts	arrebatos
inflated	inflado
poise	porte
outperforms	supera
calumniously	calumniosa
oversimplification	sobresimplificación
sack	saco
assassin	asesino
disappointingly	decepcionantemente
fundamentalism	fundamentalismo
distraction	distracción
decadent	decadente
amazingly	asombrosamente
puzzling	misterioso
immobilized	inmovilizado
viper	víbora
peril	peligro
enhance	mejorar
noise	ruido
brisk	enérgico
unobserved	desapercibido
affordable	asequible
pessimism	pesimismo
brutally	brutalmente
repetitive	repetitivo
oblique	oblicuo
restored	restaurada
commotions	conmociones
pleasurably	agradablemente
torturing	tortura
harmony	armonía
enough	suficiente
abundant	abundar
procrastinates	posterga
rejoice	alegrarse
privileged	privilegiado
impolitic	impolítico
unforeseen	contingencias
fruitless	infructuoso
pugnacity	pugnacidad
refresh	refrescar
heartbreaker	rompecorazones
counter-attacks	contraataques
intriguing	secreto
glut	superabundancia
hard-working	trabajador
discourteous	descortés
charming	encantador
conceit	presunción
perilous	peligroso
inaccuracies	inexactitudes
didn't	no
mischievously	maliciosamente
acclaim	aclamación
cuss	maldecir
won't	no
fist	puño
renounce	renunciar
hazard	peligro
dishearteningly	descorazonadoramente
frustrations	frustraciones
relentlessly	implacablemente
zealot	fanático
fulminate	fulminar
conciliatory	conciliador
sickeningly	repugnantemente
pleasurable	placentero
dazzled	deslumbrado
betrayals	traiciones
unsteady	inestable
dangerous	peligroso
effrontery	descaro
exciting	emocionante
tentative	tentativo
disapointed	decepcionado
lividly	lívidamente
annoyance	molestia
insatiable	insaciable
worry	preocuparse
infamous	infame
bust	busto
impure	impuro
foresight	previsión
distrust	desconfianza
thank	agradecer
loss	pérdida
uproarious	estruendoso
wiles	engaños
wrongly	erróneamente
outperforming	superando
remarkable	notable
hinder	dificultar
scorching	abrasador
flashy	ostentoso
languid	lánguido
lag	retraso
disappoint	decepcionar
grim	severo
beautify	embellecer
decrement	decremento
extravagance	extravagancia
spookier	fantasmagóricos
rumbling	retumbante
enrich	enriquecer
motley	abigarrado
vague	vago
harrow	grada
livid	lívido
comical	cómico
joyfully	alegremente
temptation	tentación
bastard	bastardo
inattentive	inatento
lacked	carecido
sly	astuto
sidetrack	apartadero
sensible	sensato
glorious	glorioso
patiently	pacientemente
scare	susto
endorsement	endoso
rejuvenate	rejuvenecer
flee	huir
lumpy	grumoso
encroach	usurpar
passionate	apasionado
stern	popa
spontaneous	natural
fortunate	afortunado
provocation	excitación
obsolete	obsoleto
evocative	evocador
achievements	logros
outmoded	anticuado
barbarian	bárbaro
vainly	vanamente
enhanced	mejorado
improper	impropio
harangue	arenga
restful	sosegado
fool	engañar
preposterous	absurdo
nurturing	crianza
merriness	alegría
undaunted	impávido
decisiveness	decisión
resentful	resentido
cushy	cómodo
assuredly	ciertamente
scathingly	mordazmente
urgent	urgente
laughingstock	hazmerreír
nourishing	nutritiva
exonerate	exonerar
pervasive	penetrante
smug	presumido
agreeable	agradable
glitter	purpurina
mercy	misericordia
succes	éxito
pleasure	placer
declining	declinante
secure	asegurar
tease	embromar
capitulate	capitular
carnage	carnicería
crumples	arruga
punitive	punitivo
ambivalent	ambivalente
tricky	difícil
distort	distorsionar
woo	cortejar
prate	prateek
excessively	excesivamente
demeaning	degradante
miseries	miserias
poignant	conmovedor
fanaticism	fanatismo
contradict	contador
egotistically	egoístamente
misfit	inadaptado
youthful	juvenil
agilely	ágilmente
protect	proteger
pampered	mimado
insolence	insolencia
inconvenience	inconveniencia
generous	generoso
gaffe	patinazo
tentatively	tentativamente
massacres	masacres
haughty	altivo
compulsion	compulsión
slaughtered	sacrificados
clog	zueco
savvy	comprensión
beutifully	hermosamente
underestimate	subestimar
sagged	combado
alarm	alarma
disrupt	interrumpir
wildly	salvajemente
wretchedly	miserablemente
antipathy	antipatía
meltdown	crisis
critical	crítico
dashing	gallardo
disturbance	perturbación
best	mejor
indoctrinate	adoctrinar
ultimatums	ultimátums
wrath	ira
knowledgeable	experto
travesty	parodia
romantic	romántico
disagreeably	desagradablemente
devastate	devastar
rigidity	rigidez
disavow	desautorizar
complement	complemento
unreadable	ilegible
outlaw	proscribir
free	gratis
squeaky	chirriante
saintliness	santidad
saint	santo
spectacularly	espectacularmente
imprison	aprisionar
fiend	demonio
dissemble	disimular
hustler	estafador
supreme	supremo
gladness	alegría
crazily	locamente
exasperated	exasperada
jaundiced	ictérico
congratulate	felicitar
confound	confundir
disarm	desarmar
censure	censura
enjoy	disfrutar
allege	alegar
fervently	fervorosamente
disgusting	repugnante
unquestionably	incuestionablemente
irrelevant	irrelevante
bombard	bombardear
pry	palanca
profusion	profusión
berate	regañarse
whining	gimoteo
foul	falta
humour	humor
exorbitant	exorbitante
exhorbitant	exorbitante
sputter	chisporroteo
upheaval	convulsión
unlawfulness	ilegalidad
myth	mito
fuzzy	borroso
vindictively	vengativamente
paucity	escasez
deteriorating	deterioro
calamity	calamidad
distressingly	penosamente
laid-off	despedidos
atrocious	atroz
stealing	robo
gibberish	algarabía
zaps	zapping
consistently	consecuentemente
obstinate	obstinado
proving	prueba
imminence	inminencia
unsuccessful	infructuoso
abolish	abolir
enthusiast	entusiasta
trap	trampa
harpy	arpía
illusions	ilusiones
plunderer	saqueador
rivalry	rivalidad
pokey	diminuto
barbarity	barbarie
smear	frotis
sorrowful	triste
disastrous	desastroso
ill-fated	malogrado
allergic	alérgico
awfully	terriblemente
upgradable	actualizable
tenacity	tenacidad
gleefully	alegremente
ungrateful	ingrato
complimentary	cortesía
irreproachable	irreprochable
breakthroughs	avances
recommend	recomendar
frictions	fricciones
traduce	difamar
affront	afrenta
oversight	vigilancia
venom	veneno
fiery	ardiente
enjoyable	agradable
hail	granizo
inferiority	inferioridad
scorchingly	abrasadoramente
burn	quemar
rude	grosero
perversely	perversamente
irrationally	irracionalmente
incoherent	incoherente
spurn	desdeñar
perversity	perversidad
gentle	suave
aggrieved	agraviado
counter-attack	contraataque
fairly	bastante
lucidly	lúcidamente
limit	límite
imperfection	imperfección
soreness	dolor
inhumanity	inhumanidad
impede	impedir
strangely	extrañamente
nefarious	vil
snarl	gruñido
unprepared	desprevenido
crafty	astuto
offensive	ofensiva
kindliness	bondad
muddy	fangoso
nice	agradable
remarkably	extraordinariamente
pleas	súplicas
repulsive	repulsivo
enchanting	encantador
worst	peor
oddities	rarezas
obscure	oscuro
fume	humo
malevolent	malévolo
bruises	contusiones
drawback	inconveniente
scourge	azote
upscale	lujo
derisively	burlonamente
prosecute	procesar
respectable	respetable
purify	purificar
wounds	heridas
leaks	fugas
abuse	abuso
rue	ruda
detested	detestado
sleek	pulcro
stale	viciado
ailment	enfermedad
panick	pánico
prosper	prosperar
unresponsive	insensible
graceful	agraciado
enough	suficientemente
bereave	privar
bum	culo
curse	maldición
wobbles	bamboleos
messing	ensuciando
extort	extorsionar
self-sufficient	autosuficiente
rebuke	reprensión
heroic	heroico
elated	exaltado
oppress	oprimir
scenic	escénico
dwindling	menguante
empathy	empatía
naive	ingenuo
unconstitutional	inconstitucional
manic	maníaco
annihilation	aniquilación
unfazed	imperturbable
hooray	hurra
jittery	nervioso
blockage	obstrucción
opulent	opulento
saintly	santo
fatigue	fatiga
empower	autorizar
blemish	mancha
hypocrites	hipócritas
ecstatically	éxtasis
stately	majestuoso
pig	cerdo
hardship	privación
eventful	memorable
enough	bastantes
deter	disuadir
blah	bla
depressing	deprimente
progressive	progresivo
loathe	detestar
fearsome	temible
impotent	impotente
flaky	escamoso
costly	costoso
longing	anhelo
beauteous	hermoso
defiant	desafiante
caustically	cáusticamente
trophy	trofeo
electrify	electrizar
lackluster	deslucido
dependably	fiable
spewing	vomitando
frighteningly	pavorosamente
sloppy	descuidado
squander	tiempo
transgression	transgresión
mawkish	empalagoso
creeping	progresivo
rip-off	estafa
excited	excitado
admire	admirar
wealthy	rico
froze	congeló
willingness	disposición
maliciousness	malicia
squirm	retorcerse
delinquency	delincuencia
worth	valor
distasteful	desagradable
animosity	animosidad
very	mucho
repugnant	repugnante
nicely	bien
stifle	ahogar
venomous	venenoso
dragged	arrastrado
obtrusive	molesto
surreal	surrealista
repulsing	repeliendo
pretentious	pretencioso
liking	gusto
exultation	exultación
homage	homenaje
ravage	destrozar
protracted	prolongado
cloudy	nublado
anti-proliferation	anti-proliferación
swindle	estafa
acclaimed	aclamado
encouragingly	alentador
mislead	engañar
gratified	gratificado
superficially	superficialmente
stagnate	estancarse
reasoned	razonada
astutely	astutamente
ineffectively	ineficazmente
coerce	obligar
soulful	sentimental
trample	pisotear
slander	difamación
madden	enloquecer
relentlessness	implacabilidad
effortlessly	permitiendo
debilitating	debilitante
derisive	burlón
vomit	vómito
blinding	cegador
mesmerizes	hipnotiza
proud	orgulloso
reprehensive	reprensibles
indiscriminating	indiscriminada
confrontation	confrontación
guile	engaño
monstrously	monstruosamente
harmed	perjudicado
insulting	insultante
sensitive	sensible
hurt	daño
waste	residuos
oversights	descuidos
delusional	delirante
inhibition	inhibición
smudged	manchado
grieving	duelo
inhospitable	hostil
clean	limpio
painfully	penosamente
mistakes	errores
nourish	nutrir
sully	manchar
clumsy	torpe
uncollectible	incobrables
victimize	victimizar
danken	húmedo
satirical	satírico
bloody	sangriento
unnerved	enervado
banishment	destierro
insults	insultos
stench	hedor
revenge	venganza
bleakness	desolación
reformed	reformado
tempt	tentar
confuse	confuso
feint	finta
awestruck	atemorizado
unsatisfactory	insatisfactorio
incredibly	increíblemente
baffled	desconcertado
dissonantly	disonantemente
uplifting	inspirador
fabricate	fabricar
nefariously	vilmente
faint	débil
craftly	artesanalmente
contamination	contaminación
magic	magia
fluent	fluido
expel	expulsar
madness	locura
invaluable	inestimable
sticky	pegajoso
addicted	adicto
scold	regaño
malicious	malicioso
upset	trastorno
rape	violación
audaciousness	audacia
oddly	extrañamente
coarse	grueso
barbarously	bárbaramente
belittling	menosprecio
tempest	tempestad
flattering	halagüeño
snare	lazo
mockery	burlas
insightfully	perspicacia
spook	espectro
mocks	burla
abrade	desgastar
fickle	voluble
unimaginably	inimaginablemente
odor	olor
assuring	asegurando
butchery	carnicería
secretive	reservado
dark	oscuro
amply	ampliamente
imperiously	imperiosamente
top	superior
spitefulness	malevolencia
dissent	disidencia
denunciations	denuncias
fancier	criador
incitement	incitación
advocates	defensores
raving	delirio
spoil	estropear
endorsed	endosado
freakishly	monstruosamente
doggedly	tenazmente
revitalize	revitalizar
stupor	estupor
stingy	tacaño
praise	alabanza
proven	probado
tragedy	tragedia
snag	pega
boom	auge
rust	herrumbre
implicate	implicar
incomprehension	incomprensión
despicable	despreciable
caricature	caricatura
carp	carpa
ineffectualness	ineficacia
wondrous	maravilloso
encourage	fomentar
opposition	oposición
weary	cansado
intimidatingly	intimidantemente
impurity	impureza
disconcerted	desconcertado
mania	manía
envy	envidia
cancerous	canceroso
leakages	fugas
annoyed	irritado
erosion	erosión
plunder	saqueo
grudges	rencores
barren	bares
pamperedness	mimo
titillate	excitar
sacrificed	sacrificado
amenable	dócil
badly	mal
appalled	aterrado
procrastinate	aplazar
neglect	neglecta
bungling	torpeza
wrong	mal
