defender	defensor
thoughtlessness	irreflexión
degrading	degradante
malice	malicia
masterful	maestro
optimism	optimismo
improbability	improbabilidad
irrepressible	irreprimible
absurdity	absurdo
impaired	deterioro
intimidation	intimidación
bitch	perra
irritations	irritaciones
amazes	sorprende
unmoved	impasible
ingeniously	ingeniosamente
aggrieve	ofender
infringements	infracciones
tangle	maraña
errant	errante
imposition	imposición
flagrant	flagrante
clogged	obstruido
unfriendly	hostil
celebrate	celebrar
wastefulness	residuos
outdone	aventajado
haughtily	altivamente
dies	muere
alluringly	seductoramente
bothered	molestado
audacious	audaz
soundness	solvencia
renowned	renombrado
cheater	tramposo
glory	gloria
heavenly	celestial
impedance	impedancia
boisterous	bullicioso
detriment	detrimento
rattles	sonajas
clueless	despistados
embroiled	embrollado
menacing	amenazador
inspiration	inspiración
loophole	escapatoria
dazzle	deslumbrar
loner	solitario
inconsistency	inconsecuencia
detests	detesta
screwed	roscado
worked	trabajado
charismatic	carismático
steep	empinado
listless	apático
excel	sobresalir
tragically	trágicamente
outwit	burlar
blurring	desenfoque
anti-israeli	anti-israelí
modest	modesto
buoyant	boyante
vociferous	vociferante
lure	señuelo
neurotic	neurótico
ambitiously	ambiciosamente
fanciful	imaginario
stereotypical	estereotipada
scars	cicatrices
proactive	proactivo
unstable	inestable
need	necesitan
foreboding	presentimiento
smelly	maloliente
honesty	honestidad
defame	difamar
parody	parodia
viciousness	crueldad
cliched	cliché
fabulous	fabuloso
responsive	sensible
rubbish	basura
stalls	establos
advantage	ventaja
subservience	subordinación
midget	enano
wane	menguar
talent	talento
remorseless	implacable
un-viewable	no-visible
dense	compacto
expansive	expansivo
dawdle	holgazanear
deterrent	disuasivo
exasperate	exasperar
gratifyingly	gratificantemente
gains	prima
overstatement	exageración
beneficially	beneficiosamente
useful	útil
supremacy	supremacía
unbelievably	increíblemente
hysterically	histéricamente
skill	habilidad
pretence	pretensión
tantalize	atormentar
stiffness	rigidez
bulkiness	volumen
fusty	mohoso
stupendous	estupendo
straighten	directamente
resurgent	resurgente
impetuous	impetuoso
layoff	despido
charm	encanto
shiny	brillante
asinine	asnal
desecrate	profanar
fascist	fascista
dominated	dominado
expulse	expulsar
staunch	firme
problematic	problemas
starvation	inanición
berserk	enloquecido
paradise	paraíso
wowed	sorprendió
self-interested	egoísta
estranged	distanciado
hazardous	peligroso
aspire	aspirar
warm	caliente
musty	mohoso
impoverished	empobrecido
dislikes	disgustos
loser	perdedor
glisten	relucir
avaricious	avaro
rectification	rectificación
worthy	digno
delightfully	deliciosamente
important	importante
concerns	preocupaciones
agreeably	agradablemente
shameless	desvergonzado
saggy	flaccidez
monstrosity	monstruosidad
penalty	pena
thrills	emociones
dissembler	disimulador
loyal	leal
entanglement	enredo
assurances	garantías
unorthodox	heterodoxo
unilateralism	unilateralismo
beauty	belleza
unaffected	inafectado
sturdy	robusto
fond	aficionado
intrusive	intruso
most	más
innuendo	insinuación
crumbling	desmoronamiento
over-valuation	sobrevaloración
indecision	indecisión
squeal	chillido
overtakes	adelanta
offender	delincuente
continuity	continuidad
droops	cae
snobby	snob
plea	súplica
dismayed	consternados
slick	mancha
dissonant	disonante
tired	cansado
farcically	grotescamente
confounded	confundido
pitiful	lamentable
irritating	irritante
pales	palidece
troubled	turbulento
resistance	resistencia
hostilities	hostilidades
contentious	contencioso
providence	providencia
figurehead	testaferro
exalted	exaltado
hollow	hueco
frantic	frenético
loud	ruidoso
hysteric	histérico
discordant	discordante
reforms	reformas
villainously	vilmente
derision	burla
liars	mentirosos
fervid	ardiente
warp	urdimbre
excelled	sobresalido
