backbiting	murmuración
restricted	restringido
unequal	desigual
dote	adorar
harmonize	armonizar
neglected	descuidado
fear	miedo
obstinately	obstinadamente
doubtful	dudoso
difficulties	dificultades
shamelessness	desvergüenza
scratched	rayado
multi-polarization	multipolarización
invalid	inválido
sadness	tristeza
excellency	excelencia
faithfully	fielmente
skilled	entrenado
bereft	privado
ignominy	ignominia
cheats	tramposos
glistening	brillante
extremism	extremismo
nagging	persistente
belie	desmentir
backwardness	atraso
conflicting	contradictorio
leverage	apalancamiento
scrap	residuos
madly	locamente
murky	turbio
complemented	complementado
foolishly	neciamente
magnificent	magnífico
appall	espantar
overwhelmed	abrumado
zippy	enérgico
erode	erosionar
gangster	gángster
whoooa	hala
stranger	desconocido
cunt	coño
drastic	drástico
devastated	devastado
groundbreaking	innovador
lewdness	lascivia
invincibility	invencibilidad
blabber	chismoso
crooked	torcido
accomplishment	logro
boredom	aburrimiento
lavish	pródigo
gainful	remunerativo
scarce	escaso
battering	maltrato
delusions	ilusiones
heartening	alentador
banish	desterrar
divergent	divergente
impunity	impunidad
loose	suelto
resounding	rotundo
die	morir
deviously	sinuosamente
obsession	obsesión
happy	feliz
inexperience	inexperiencia
obnoxiously	odiosamente
scoffingly	burlón
abominate	abominar
woe	ay
disabled	discapacitado
breaks	descansos
recomend	recomiendo
morality	moralidad
generously	generosamente
needed	necesitaban
junk	basura
enlighten	iluminar
unreasonably	excesivamente
interfere	interferir
giddy	mareado
hypocrite	hipócrita
pep	brillo
monstrosities	monstruosidades
cracked	agrietado
hatred	odio
wound	herida
useless	inútil
nervousness	nerviosismo
contemptuous	despreciativo
edify	edificar
forsaken	abandonado
success	éxito
dejection	abatimiento
denunciation	denuncia
astounded	asombrado
sketchy	incompleto
enthusiasm	entusiasmo
famed	famoso
archaic	arcaico
uneasiness	inquietud
staid	serio
sufferer	víctima
hurting	lastimar
fidget	agitarse
wickedness	maldad
undisputed	indiscutible
cozy	cosy
bravery	valentía
angel	ángel
unusual	raro
strut	puntal
catastrophies	catástrofes
speedy	veloz
prowess	proeza
enjoying	disfrutando
anomaly	anomalía
gimmick	truco
invective	invectiva
infuriatingly	exasperantemente
botch	chapucería
stricken	afligido
enviable	envidiable
dismally	tristemente
aggravating	agravante
unfortunately	desafortunadamente
uncooperative	incooperativo
uncomfortably	incómodamente
powerfully	poderosamente
overrun	invadir
ultimatum	ultimátum
busybody	entrometido
slime	limo
tyrant	tirano
scolded	regañado
delirium	delirio
satisfactorily	satisfactoriamente
wobbled	tambaleado
inevitably	inevitablemente
one-sided	unilateral
mirage	espejismo
irritate	irritación
golden	dorado
resourceful	ingenioso
affirmation	afirmación
slanders	calumnias
inappropriate	inapropiado
exhilarating	estimulante
racy	picante
sin	pecado
derogatory	despectivo
affliction	aflicción
questionable	dudoso
fondly	afectuosamente
morons	tarados
dedicated	dedicado
stark	rígido
indebted	endeudado
craze	manía
hurtful	hiriente
miscellaneous	diverso
pride	orgullo
favorite	favorito
gruff	brusco
despondency	abatimiento
pertinacity	pertinacia
slanderous	calumnioso
sluggish	lento
excruciatingly	insoportablemente
worriedly	preocupación
unpleasant	desagradable
condemnable	condenable
reluctant	reacio
treachery	traición
dismaying	desalentador
defamatory	difamatorio
disdainfully	desdeñosamente
amazement	asombro
despot	déspota
moron	idiota
vibrates	vibra
chatter	charla
ambush	emboscada
righteous	justo
gimmicky	efectista
raped	violada
erratically	erráticamente
miff	disgustar
spiteful	malévolo
hilarious	hilarante
delightful	encantador
fiendish	diabólico
cute	lindo
compassion	compasión
concession	concesión
prison	prisión
work	trabajo
ripped	rasgado
well-wishers	bienquerientes
fast-paced	acelerado
mistress	amante
joke	broma
fanatics	fanáticos
patience	paciencia
satirize	satirizar
shameful	vergonzoso
misses	pierde
advocated	propugnado
jeer	burla
exquisitely	exquisitamente
muscle-flexing	músculo-flexión
scar	cicatriz
horribly	horriblemente
superfluous	superfluo
freakish	anormal
approve	aprobar
eruptions	erupciones
nettle	ortiga
enflame	inflamar
cataclysmic	catastrófico
pinnacle	pináculo
chilly	frío
headway	progreso
prominence	prominencia
scarcity	escasez
cannibal	caníbal
amiable	amable
casualty	víctima
ache	dolor
charmingly	encantadoramente
disputed	disputa
tumble	caer
indecorum	indecoro
overemphasize	enfatizar
maliciously	maliciosamente
faulty	defectuoso
compliment	cumplido
cleared	despejado
overbalanced	sobrenivelado
constructive	constructivo
incredibly	increíblemente
usable	utilizable
lawbreaker	transgresor
stigmatize	estigmatizar
gullible	crédulo
uprising	levantamiento
despotic	despótico
geeky	geek
sinisterly	siniestramente
gratifies	gratifica
retreated	retirado
biting	mordaz
vibrate	vibrar
deformed	deformado
plagiarize	plagiar
conspire	conspirar
allergies	alergias
beggarly	miserable
diversified	diversificado
unprofitable	improductivo
indignity	indignidad
over-balanced	sobre-equilibrada
unassailable	inatacable
prize	premio
contravene	infringir
scoff	burlarse
snappish	brusco
implode	implosionar
tardy	tardío
meticulously	meticulosamente
sorry	triste
helplessness	impotencia
remedy	remedio
exceptionally	excepcionalmente
verifiable	verificable
aggressor	agresor
deplete	agotar
falsely	falsamente
doldrums	bache
flakey	escamosa
damning	condenatorio
viciously	viciosamente
ingratitude	ingratitud
sucks	chupa
fame	fama
demean	degradar
tyrannically	tiránicamente
fiction	ficción
disdainful	desdeñoso
abused	abusado
entertain	entretener
thoughtless	irreflexivo
flourishing	floreciente
beneficent	benéfico
radicalization	radicalización
belligerence	beligerancia
swiftness	rapidez
chill	frío
contend	contender
jealously	celosamente
deny	negar
everlasting	eterno
zapped	zapping
vice	vicio
fallacies	falacias
remorse	remordimiento
taunts	burlas
integrated	integrado
careless	descuidado
bloodthirsty	sanguinario
commend	encomendar
revolutionized	revolucionado
desolate	solitario
vagueness	vaguedad
effective	efectivo
serene	sereno
hearten	corazón
craps	dados
speedily	rápidamente
overreach	extralimitarse
courage	coraje
restless	inquieto
hefty	fuerte
uncouth	grosero
exuberance	exuberancia
misguided	equivocado
deteriorate	deteriorarse
needed	necesitaba
pure	puro
lamentably	lamentablemente
agreeableness	agradabilidad
impermissible	inadmisible
apprehension	aprensión
issues	cuestiones
calumny	calumnia
precious	precioso
lonely	solitario
sloth	pereza
solicitous	solícito
impinge	invadir
simplistic	simplista
rightly	correctamente
slave	esclavo
dissidence	manzana
oppressive	opresivo
skeptic	escéptico
impossibly	imposiblemente
procrastination	dilación
record-setting	récord
hostile	hostil
egotistical	ególatra
fibber	mentiroso
demoralizing	desmoralizador
squeaks	chirridos
awful	horrible
womanizer	mujeriego
flabbergasted	asombrado
indolent	indolente
eased	aliviado
indecisively	indeciso
properly	correctamente
escapade	escapada
overtaking	adelantamiento
surpass	superar
risky	arriesgado
recklessness	imprudencia
maladjusted	inadaptado
stability	estabilidad
bullshit	mierda
scandalize	escandalizar
mastery	maestría
relaxed	relajado
anarchistic	anarquista
heaven	cielo
subpoena	citación
dissatisfied	insatisfecho
disintegrate	desintegrarse
stresses	tensiones
subversively	subversivamente
preferably	preferiblemente
shunned	rechazado
cheaply	barato
consternation	consternación
predicament	predicamento
drunk	borracho
depressingly	depresivamente
deficiency	deficiencia
panicking	pánico
avarice	avaricia
astonishing	asombroso
despairingly	desesperadamente
shame	vergüenza
redemption	redención
undecided	indeciso
broken	roto
godsend	bendición
expire	caducar
ripoff	estafa
bewildering	desconcertante
odd	impar
imperfectly	imperfectamente
awarded	otorgado
heretical	herético
hale	sano
spitefully	malévolamente
explode	explotar
culprit	culpable
dump	vertedero
crushed	aplastado
dings	abolladuras
prick	pinchazo
sneeringly	burlonamente
disloyalty	deslealtad
splendidly	espléndidamente
sufferers	enfermos
bewitch	hechizar
castrated	castrado
disquieting	inquietante
grisly	espeluznante
nicest	mejor
mesmerize	hipnotizar
disparaging	despectivo
futuristic	futurista
sidetracked	desviarse
unavailable	indisponible
bewail	llorar
puppet	marioneta
degradingly	degradantemente
wreaks	apesta
deserving	digno
intimate	íntimo
forsake	abandonar
inexpensive	barato
enhances	mejora
incorrectly	incorrectamente
gawky	desgarbado
undue	indebido
fretful	irritable
inimical	hostil
reluctance	renuencia
peaceful	pacífico
sporadic	esporádico
magnificence	magnificencia
stumbles	tropieza
aspersions	aspersiones
deprived	privado
rattled	sacudido
bleeds	sangra
efficiently	eficientemente
pertinaciously	pertinazmente
totalitarian	totalitario
imaginary	imaginario
promises	promesas
reward	recompensa
defamations	difamaciones
paralize	paralizar
contaminate	contaminar
love	amor
bolster	reforzar
irrecoverable	irrecuperable
sporty	deportivo
tacky	pegajoso
soft	suave
simplistically	simplista
chaotic	caótico
ironical	irónico
insinuate	insinuar
disbelief	incredulidad
yay	toma
regression	regresión
lied	mentido
impressed	impresionado
outrages	ultrajes
overwhelm	abrumar
spotless	inmaculado
malignant	maligno
depraved	depravado
vouch	atestiguar
malevolence	malevolencia
altercation	altercado
displeasing	desagradable
yawn	bostezo
complication	complicación
obliterate	obliterar
doom	perdición
hoard	acumulación
skeptically	escepticismo
wholesome	saludable
pest	parásito
immaculate	inmaculado
castigate	castigar
good	buenas
individualized	individualizados
durable	duradero
discourteously	descortesía
outdo	exceder
hazy	brumoso
miser	avaro
unuseable	inutilizable
