the du
and eta
was nintzen
for egiteko
that hori
with batera
from batetik
from of
this da
this hau
utc utc
his bere
his beren
not no
not ez
are bere
are dira
are daude
talk hizkera
talk berriketan
talk eztabaida
also halaber
also berdin
has duzu
but baina
have dute
one a
one bat
new berriaren
new berritasun
new berri
first lehenengo
page orri
you duzu
you to
you zure
they dute
had zuen
had mantendutako
article artikulu
who about
who duenarentzat
who nor
who oms
all guztiak
their bere
their beren
there ez
been egon
made done
made egina
its bere
its beren
people jende
may maiatza
may may
after ondoren
after gero
other beste
two of
two bi
score puntuazio
score partitura
score idatzi
her bere
her zuen
can ahal
can urte
more gehiago
more baina
she zuen
about buruz
about buruzko
when denean
when noiz
time denbora
team taldeak
team ekipamendu
american american
american aebetako
such of
discussion eztabaidak
discussion eztabaida
links akoplamendu
links loturak
only bakarra
some batzuk
see ikusi
united batua
united united
united batasuna
years urte
into sartu
school eskola
world mundu
university akademikoa
university unibertsitate
during zehar
out out
state egoera
state estatu
states estatu
national nazionalak
wikipedia wikipedia
year urte
most gehien
city city
over gorako
used erabilitako
then gero
than baino
county eskualdeko
external kanpoko
external exterior
where non
will izango
what zer
delete ezabatu
delete kendu
any edozein
these horiek
january urtarrila
march martxa
march martxoa
august abuztu
august abuztua
july uztailean
being egotea
being izan
film film
film nor
film movie
him da
many asko
south buruzko
september iraila
like bezalako
like gisa
between arteko
october urriaren
three hiru
june june
june ekainaren
well ona
well ondo
well gero
use erabilera
use erabiltzeko
war gerra
under txikia
under beherako
under behean
them dute
april april
april apirilaren
born born
december abendua
link link
while bitartean
later beranduago
later gero
part parte
november azaroa
players jokalari
list zerrenda
please mesedez
please mesede
following hurrengo
february otsaila
known ezagunak
second segundutan
second bigarren
name deitura
name izen
group taldeko
history erregistro
history historia
series series
just bakarra
just besterik
north iparraldean
work lanean
work lanpostu
work lan
before aurretik
since batetik
season denboraldi
both bai
both hainbeste
high high
high handiko
through bidez
district auzoan
now orain
comments behaketak
comments iruzkin
comments iruzkinak
because delako
football futbola
music musika
diff bereizteko
diff desberdintasunak
diff diff
century mendeko
league liga
edits edizioak
debate eztabaida
title izenburua
articles artikulu
john john
same bezalako
same bera
including sartuta
including barne
could could
english english
english espainiako
album album
album diskoan
number zenbakia
against aurka
family familia
family ezagunak
user erabiltzaile
based oinarritutako
area azalera
area inguruan
area zona
york york
life bizitza
british british
international nazioarteko
game joko
above ireki
club disco
club garrote
club club
your bere
your beren
your zure
until ireki
early lehenengo
early goiz
best onena
best onenak
west mendebaldean
west mendebaldeko
west west
house etxe
company konpainiak
company konpainia
general general
general orokorra
left ezker
very oso
here hemen
here aca
don don
living bizi
day egun
several zenbait
place leku
party parte
party festa
college eskola
college unibertsitatean
college unibertsitate
result emaitza
keep mantentzeko
keep zaintzeko
appropriate egokia
four lau
subsequent beranduago
subsequent ondorengo
even are
even ireki
class class
class klaseak
government gobernuak
how nola
how gisa
called deitu
called deiaren
did egin
each bakoitzeko
found topatu
center zentro
per egiteko
style style
com batera
long luze
country guraso
country country
back ordainetan
back atzera
back itzuli
way modu
does duela
www www
modify aldatzea
modify aldaketaren
end end
end final
make ez
make egiteko
public publiko
public publikoak
played jokatu
won ganadu
won irabazi
another beste
released kaleratu
added azkenak
added gehitu
added agregatua
added agregatu
support laguntza
games partidak
former zaharra
former ex
those horiek
films films
films filmak
films nor
films movies
church eliza
east ekialdeko
east da
east ekialdean
line line
major komandante
major altuagoa
major garrantzitsu
members parlamentari
members kidea
good ona
good ondo
much asko
much askoz
image irudi
